ImageId,label
1,2
2,0
3,4
4,5
5,3
6,5
7,0
8,3
9,0
10,3
11,5
12,5
13,4
14,0
15,4
16,3
17,3
18,1
19,5
20,0
21,5
22,1
23,1
24,5
25,5
26,4
27,2
28,5
29,5
30,5
31,5
32,5
33,4
34,2
35,5
36,2
37,5
38,5
39,1
40,5
41,5
42,5
43,4
44,4
45,5
46,5
47,5
48,2
49,5
50,5
51,5
52,5
53,1
54,3
55,5
56,2
57,1
58,2
59,2
60,0
61,4
62,1
63,5
64,0
65,0
66,0
67,1
68,4
69,0
70,1
71,5
72,5
73,5
74,5
75,2
76,5
77,5
78,5
79,2
80,2
81,5
82,5
83,1
84,0
85,4
86,2
87,4
88,3
89,5
90,5
91,2
92,0
93,5
94,5
95,1
96,4
97,3
98,5
99,5
100,4
101,0
102,3
103,2
104,0
105,5
106,3
107,0
108,5
109,0
110,3
111,0
112,0
113,4
114,5
115,1
116,5
117,1
118,1
119,5
120,3
121,3
122,5
123,2
124,1
125,5
126,3
127,5
128,5
129,5
130,4
131,5
132,5
133,5
134,0
135,0
136,0
137,3
138,1
139,3
140,0
141,4
142,3
143,4
144,5
145,5
146,5
147,5
148,5
149,2
150,5
151,4
152,3
153,5
154,5
155,5
156,3
157,5
158,5
159,5
160,5
161,3
162,0
163,4
164,5
165,1
166,5
167,5
168,5
169,5
170,0
171,2
172,5
173,5
174,5
175,1
176,3
177,5
178,4
179,1
180,2
181,4
182,5
183,5
184,2
185,4
186,5
187,2
188,1
189,5
190,0
191,5
192,1
193,4
194,4
195,5
196,0
197,4
198,5
199,0
200,5
201,1
202,5
203,0
204,1
205,5
206,0
207,5
208,4
209,5
210,2
211,0
212,5
213,3
214,5
215,5
216,2
217,1
218,5
219,3
220,4
221,2
222,3
223,1
224,5
225,2
226,5
227,4
228,5
229,1
230,0
231,0
232,4
233,5
234,1
235,5
236,3
237,2
238,5
239,5
240,5
241,5
242,5
243,2
244,5
245,5
246,5
247,4
248,5
249,3
250,5
251,5
252,5
253,1
254,3
255,5
256,4
257,5
258,1
259,4
260,3
261,5
262,3
263,5
264,5
265,5
266,0
267,5
268,5
269,5
270,1
271,5
272,0
273,5
274,3
275,5
276,5
277,1
278,5
279,5
280,4
281,0
282,5
283,2
284,0
285,5
286,3
287,5
288,1
289,4
290,5
291,5
292,5
293,5
294,4
295,4
296,5
297,3
298,0
299,3
300,3
301,5
302,4
303,5
304,2
305,5
306,5
307,5
308,1
309,4
310,5
311,5
312,5
313,4
314,0
315,0
316,3
317,5
318,4
319,1
320,5
321,4
322,1
323,1
324,5
325,5
326,4
327,5
328,1
329,5
330,5
331,5
332,3
333,1
334,3
335,0
336,4
337,0
338,5
339,2
340,0
341,5
342,2
343,1
344,5
345,5
346,0
347,5
348,5
349,2
350,5
351,5
352,5
353,5
354,2
355,5
356,5
357,5
358,4
359,2
360,5
361,5
362,5
363,3
364,5
365,5
366,2
367,3
368,5
369,1
370,5
371,4
372,5
373,0
374,5
375,5
376,5
377,4
378,5
379,3
380,5
381,5
382,5
383,5
384,4
385,2
386,5
387,2
388,1
389,3
390,5
391,1
392,5
393,5
394,4
395,5
396,1
397,1
398,1
399,5
400,3
401,5
402,5
403,5
404,1
405,1
406,1
407,4
408,3
409,5
410,5
411,5
412,0
413,4
414,1
415,2
416,3
417,1
418,1
419,3
420,5
421,4
422,5
423,5
424,5
425,3
426,1
427,4
428,5
429,4
430,5
431,4
432,5
433,5
434,2
435,5
436,1
437,3
438,5
439,5
440,0
441,5
442,4
443,5
444,4
445,5
446,4
447,1
448,5
449,3
450,4
451,5
452,5
453,5
454,4
455,5
456,5
457,1
458,3
459,5
460,5
461,1
462,5
463,5
464,0
465,5
466,1
467,5
468,4
469,4
470,1
471,1
472,4
473,4
474,5
475,5
476,0
477,1
478,3
479,1
480,0
481,4
482,5
483,1
484,2
485,5
486,4
487,4
488,5
489,3
490,5
491,0
492,4
493,2
494,4
495,2
496,0
497,5
498,3
499,2
500,0
501,5
502,5
503,4
504,4
505,1
506,5
507,3
508,3
509,0
510,2
511,5
512,5
513,5
514,5
515,5
516,3
517,1
518,5
519,5
520,3
521,2
522,5
523,0
524,5
525,5
526,1
527,0
528,1
529,1
530,5
531,0
532,5
533,3
534,5
535,5
536,5
537,5
538,5
539,5
540,3
541,0
542,2
543,5
544,2
545,0
546,3
547,0
548,4
549,2
550,1
551,1
552,3
553,0
554,5
555,0
556,0
557,5
558,5
559,5
560,2
561,0
562,3
563,1
564,1
565,5
566,5
567,4
568,1
569,1
570,4
571,5
572,5
573,3
574,5
575,0
576,4
577,1
578,2
579,4
580,2
581,5
582,1
583,2
584,5
585,5
586,1
587,5
588,5
589,5
590,5
591,5
592,5
593,1
594,5
595,5
596,5
597,0
598,5
599,0
600,3
601,5
602,1
603,5
604,1
605,5
606,2
607,5
608,5
609,5
610,4
611,5
612,4
613,3
614,3
615,2
616,4
617,5
618,0
619,0
620,5
621,5
622,5
623,5
624,4
625,0
626,5
627,1
628,3
629,5
630,5
631,5
632,1
633,5
634,5
635,1
636,4
637,5
638,5
639,5
640,3
641,0
642,4
643,4
644,5
645,5
646,5
647,4
648,4
649,1
650,5
651,4
652,5
653,0
654,0
655,5
656,2
657,4
658,3
659,3
660,5
661,2
662,3
663,4
664,0
665,4
666,5
667,1
668,3
669,5
670,5
671,3
672,5
673,4
674,3
675,5
676,5
677,5
678,5
679,5
680,0
681,5
682,5
683,5
684,1
685,1
686,3
687,4
688,5
689,5
690,4
691,2
692,5
693,0
694,1
695,5
696,4
697,3
698,5
699,5
700,5
701,4
702,0
703,5
704,0
705,5
706,0
707,5
708,4
709,5
710,5
711,5
712,5
713,1
714,5
715,5
716,5
717,2
718,3
719,5
720,5
721,5
722,3
723,1
724,0
725,1
726,0
727,5
728,4
729,5
730,5
731,5
732,1
733,3
734,2
735,5
736,5
737,1
738,5
739,1
740,5
741,4
742,4
743,3
744,4
745,3
746,4
747,5
748,5
749,5
750,5
751,4
752,5
753,4
754,4
755,1
756,4
757,5
758,1
759,1
760,2
761,5
762,0
763,4
764,0
765,4
766,0
767,0
768,5
769,1
770,5
771,2
772,5
773,0
774,1
775,5
776,3
777,4
778,5
779,3
780,1
781,1
782,5
783,4
784,5
785,3
786,5
787,5
788,4
789,5
790,5
791,5
792,0
793,4
794,0
795,4
796,3
797,1
798,5
799,4
800,5
801,1
802,1
803,3
804,3
805,1
806,4
807,5
808,5
809,5
810,1
811,5
812,4
813,2
814,3
815,2
816,4
817,0
818,4
819,5
820,4
821,3
822,0
823,5
824,0
825,1
826,4
827,0
828,4
829,5
830,2
831,1
832,5
833,5
834,4
835,3
836,5
837,5
838,1
839,5
840,5
841,1
842,4
843,0
844,5
845,4
846,5
847,5
848,2
849,1
850,5
851,5
852,5
853,5
854,5
855,2
856,5
857,1
858,3
859,5
860,5
861,0
862,4
863,1
864,4
865,2
866,3
867,5
868,5
869,2
870,3
871,5
872,5
873,4
874,2
875,3
876,5
877,1
878,1
879,0
880,1
881,4
882,5
883,1
884,1
885,2
886,5
887,1
888,5
889,4
890,4
891,1
892,5
893,5
894,0
895,4
896,2
897,5
898,4
899,1
900,1
901,5
902,3
903,5
904,5
905,4
906,5
907,5
908,3
909,2
910,5
911,2
912,0
913,4
914,5
915,1
916,5
917,4
918,5
919,1
920,5
921,5
922,3
923,5
924,5
925,4
926,5
927,5
928,5
929,5
930,3
931,3
932,2
933,1
934,4
935,1
936,3
937,5
938,5
939,5
940,5
941,5
942,2
943,5
944,1
945,0
946,5
947,3
948,2
949,5
950,2
951,5
952,5
953,5
954,2
955,3
956,2
957,5
958,3
959,0
960,2
961,5
962,4
963,4
964,0
965,0
966,5
967,1
968,5
969,5
970,5
971,3
972,2
973,5
974,5
975,5
976,0
977,5
978,0
979,5
980,4
981,5
982,5
983,5
984,4
985,5
986,5
987,0
988,5
989,3
990,2
991,1
992,4
993,0
994,5
995,5
996,3
997,5
998,2
999,2
1000,4
1001,0
1002,5
1003,0
1004,5
1005,1
1006,3
1007,4
1008,5
1009,3
1010,5
1011,2
1012,5
1013,3
1014,5
1015,3
1016,5
1017,2
1018,3
1019,4
1020,5
1021,5
1022,5
1023,5
1024,5
1025,2
1026,5
1027,1
1028,5
1029,5
1030,1
1031,5
1032,1
1033,5
1034,5
1035,4
1036,5
1037,5
1038,5
1039,2
1040,0
1041,1
1042,5
1043,1
1044,5
1045,2
1046,2
1047,5
1048,5
1049,2
1050,5
1051,2
1052,5
1053,3
1054,5
1055,5
1056,1
1057,1
1058,3
1059,5
1060,5
1061,0
1062,0
1063,5
1064,0
1065,5
1066,4
1067,5
1068,0
1069,5
1070,5
1071,5
1072,5
1073,5
1074,5
1075,5
1076,2
1077,5
1078,1
1079,2
1080,4
1081,3
1082,0
1083,2
1084,5
1085,5
1086,5
1087,5
1088,5
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,5
1096,5
1097,5
1098,3
1099,5
1100,3
1101,4
1102,2
1103,5
1104,1
1105,5
1106,2
1107,0
1108,5
1109,4
1110,5
1111,5
1112,2
1113,5
1114,1
1115,0
1116,5
1117,2
1118,5
1119,5
1120,5
1121,5
1122,5
1123,4
1124,1
1125,5
1126,3
1127,5
1128,5
1129,1
1130,2
1131,0
1132,5
1133,5
1134,0
1135,3
1136,5
1137,5
1138,5
1139,5
1140,5
1141,5
1142,0
1143,5
1144,1
1145,2
1146,5
1147,4
1148,5
1149,5
1150,3
1151,5
1152,5
1153,5
1154,4
1155,5
1156,4
1157,5
1158,1
1159,5
1160,0
1161,5
1162,1
1163,4
1164,0
1165,5
1166,4
1167,1
1168,2
1169,4
1170,5
1171,5
1172,2
1173,5
1174,1
1175,5
1176,5
1177,2
1178,5
1179,2
1180,5
1181,3
1182,5
1183,4
1184,4
1185,0
1186,5
1187,0
1188,3
1189,5
1190,5
1191,5
1192,3
1193,3
1194,5
1195,5
1196,5
1197,3
1198,2
1199,5
1200,4
1201,5
1202,5
1203,3
1204,0
1205,1
1206,5
1207,5
1208,5
1209,4
1210,0
1211,4
1212,5
1213,5
1214,4
1215,5
1216,5
1217,5
1218,5
